implementation,M,N,K,BM,BN,BK,TM,TN,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
single_buffer_register2d,2048,2048,2048,128,128,8,8,8,true,110,8320,0,5,30,1.19504,14376,0.000171661,9.04595e-06,0,cublas
double_buffer_register2d,2048,2048,2048,128,128,8,8,8,true,128,16640,0,5,30,1.13005,15202.7,0.000171661,9.04595e-06,0,cublas
cublas_pedantic_fp32,2048,2048,2048,0,0,0,0,0,false,0,0,0,5,30,0.826231,20793,0,0,0,none
