implementation,M,N,K,BM,BN,BK,TM,TN,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
single_buffer_register2d,1000,1030,777,128,128,8,8,8,false,116,8320,0,10,30,0.171554,9330.12,0,0,0,cublas
double_buffer_register2d,1000,1030,777,128,128,8,8,8,false,116,16640,0,10,30,0.171759,9318.99,0,0,0,cublas
cublas_pedantic_fp32,1000,1030,777,0,0,0,0,0,false,0,0,0,10,30,0.117043,13675.5,0,0,0,none
