implementation,M,N,K,tile_size,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
naive_cuda,4096,4096,4096,0,5,20,67.2979,2042.25,0,0,0,cublas
shared_tiled_cuda,4096,4096,4096,32,5,20,49.6364,2768.91,0,0,0,cublas
cublas_pedantic_fp32,4096,4096,4096,0,5,20,7.13697,19257.3,0,0,0,none
