implementation,M,N,K,BM,BN,BK,TM,TN,threads_per_block,registers_per_thread,static_shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register_tiled_2d,4096,4096,4096,128,128,8,8,8,256,124,8320,0,5,20,9.61495,14294.3,0,0,0,cublas
cublas_pedantic_fp32,4096,4096,4096,0,0,0,0,0,0,0,0,0,5,20,6.13023,22419.9,0,0,0,none
