implementation,M,N,K,BM,BN,BK,TM,TN,vector_width,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register2d_scalar_load,1024,1024,1024,128,128,8,8,8,1,false,122,8320,0,10,50,0.303291,7080.59,7.24792e-05,4.53739e-06,0,cublas
register2d_float4_load,1024,1024,1024,128,128,8,8,8,4,true,110,8320,0,10,50,0.346685,6194.33,7.24792e-05,4.53739e-06,0,cublas
cublas_pedantic_fp32,1024,1024,1024,0,0,0,0,0,0,false,0,0,0,10,50,0.143544,14960.4,0,0,0,none
