implementation,M,N,K,BM,BN,BK,TM,TN,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
single_buffer_register2d,512,512,512,128,128,8,8,8,true,110,8320,0,10,50,0.107501,2497.04,3.24249e-05,2.41183e-06,0,cublas
double_buffer_register2d,512,512,512,128,128,8,8,8,true,128,16640,0,10,50,0.0950886,2823,3.24249e-05,2.41183e-06,0,cublas
cublas_pedantic_fp32,512,512,512,0,0,0,0,0,false,0,0,0,10,50,0.0269107,9975.04,0,0,0,none
