implementation,M,N,K,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
naive_cuda,1024,1024,1024,10,50,1.09644,1958.6,7.24792e-05,4.53739e-06,0,cublas
cublas_pedantic_fp32,1024,1024,1024,10,50,0.136929,15683.2,0,0,0,none
