implementation,M,N,K,BM,BN,BK,TM,TN,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
single_buffer_register2d,4096,4096,4096,128,128,8,8,8,true,110,8320,0,5,20,9.23802,14877.5,0,0,0,cublas
double_buffer_register2d,4096,4096,4096,128,128,8,8,8,true,128,16640,0,5,20,8.80737,15605,0,0,0,cublas
cublas_pedantic_fp32,4096,4096,4096,0,0,0,0,0,false,0,0,0,5,20,6.22607,22074.8,0,0,0,none
