implementation,M,N,K,BM,BN,BK,TM,threads_per_block,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register_tiled_1d,1024,1024,1024,128,32,16,8,512,10,50,0.388301,5530.46,7.24792e-05,4.53739e-06,0,cublas
cublas_pedantic_fp32,1024,1024,1024,0,0,0,0,0,10,50,0.145674,14741.7,0,0,0,none
