implementation,M,N,K,BM,BN,BK,TM,threads_per_block,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register_tiled_1d,4096,4096,4096,128,32,16,8,512,5,20,20.0255,6863.2,0,0,0,cublas
cublas_pedantic_fp32,4096,4096,4096,0,0,0,0,0,5,20,6.17549,22255.6,0,0,0,none
