implementation,M,N,K,BM,BN,BK,TM,TN,threads_per_block,registers_per_thread,static_shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register_tiled_2d,512,512,512,128,128,8,8,8,256,124,8320,0,10,50,0.117965,2275.56,3.24249e-05,2.41183e-06,0,cublas
cublas_pedantic_fp32,512,512,512,0,0,0,0,0,0,0,0,0,10,50,0.0253952,10570.3,0,0,0,none
