implementation,M,N,K,BM,BN,BK,TM,TN,threads_per_block,registers_per_thread,static_shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register_tiled_2d,1000,1030,777,128,128,8,8,8,256,124,8320,0,10,30,0.224154,7140.73,0,0,0,cublas
cublas_pedantic_fp32,1000,1030,777,0,0,0,0,0,0,0,0,0,10,30,0.101205,15815.6,0,0,0,none
