implementation,M,N,K,BM,BN,BK,TM,TN,vector_width,float4_enabled,registers_per_thread,shared_bytes,local_memory_bytes,warmup,iterations,mean_latency_ms,gflops,max_abs_error,mean_abs_error,mismatch_count,reference
register2d_scalar_load,1000,1032,780,128,128,8,8,8,1,false,122,8320,0,10,30,0.18374,8761.96,0,0,0,cublas
register2d_float4_load,1000,1032,780,128,128,8,8,8,4,true,110,8320,0,10,30,0.245385,6560.8,0,0,0,cublas
cublas_pedantic_fp32,1000,1032,780,0,0,0,0,0,0,false,0,0,0,10,30,0.109807,14661.4,0,0,0,none
